id,title,tenant_id,owner_person_id,creation_timestamp,state,description,goal,max_students,difficulty,completion_criteria,academic_session_id,project_type,tag_asg
4361,Operation oriented NoSQL database,ug4,1334,2020 02 11 12:45:47 00,1,"I'm pretty sure no one really likes programming in SQL, but I'm also not sure that many of the NoSQL DBs are much more fun.But, one that is popular is Redis. It is in an memory DB which supports various data structures and operations on them. The data structures are things like lists, hash maps, etc. The users' interaction is all at the data level. In other words, they operate on lists etc. not their higher level operations. Those operations are then replicated and persisted. The data can be reconstructed by replaying the operations   however, as already said, they are very low level.The idea in this project is to let the developer manage the in memory model themselves and only deal with persistence and replication etc at the highest possible level.For example, suppose I am modelling a widget factory and typical operations that write to the model include: rebalancing all the widget doodads by a factor of 1.5; incrementing the nogglebats. I have easily built an in memory version of this. I want to persist and replicate those operations. Each of them requires thousands or millions of changes to the underlying model, touching large parts of my in memory model. If I do this in SQL or something like Redis, I have to work out how to map all those low level operations and pay for them to be transmitted somewhere for replication and persistence.Instead, when I make the call "";rebalance_widget_doodads(1.5)""; I can just persist and replicate that   i.e. the very string †"";rebalance_widget_doodads(1.5)"";. Later I can recreate the in memory model by replaying those calls, and I can likely gossip about them to other servers to do replication. † Compare this to Redis, where I would have to persist and replicate millions of calls to low level data structures   and, worse, as the developer, I couldn't even use the native data types I normally have available. It would be so much closer to what developers actually want to deal with.So, at the simplest, we need a way to indicate which objects and APIs are persistable and to serialise/deserialise the calls (ideally in a human readable format). In Java/Scala, this might be marking methods or classes with some annotation. Depending on the language you choose this could be easy or hard. That should be all the programmer would need. † From then on, any call to those methods would be persisted and replicated. Care would be needed if the methods were not just statics.Such a system could be heavily optimised to increase the scope of the project.",Build an operation oriented NoSQL database,1,3   Hard,An operation oriented NoSQL database,8,0,f
4362,Automatic Conversion Between Flavours of SQL,ug4,1334,2020 02 11 12:46:13 00,1,"There is no agreed upon version of SQL, so once an organisation commits to using one database provider, they can then become locked in.This project aims to partially solve this problem. † Given SQL in one flavour, for example, MySQL, emit equivalent SQL that will have identical semantics when run in another flavour, e.g. Postgres.There will likely need to be a great deal of compiler work, so this is not for the faint of heart.",Build a transpiler between two or more flavours of SQL,3,4   Very Hard,A transpiler between one or more SQL flavours. Tests demonstrating success.,8,0,f
4363,Auto Parallelisation Through Deep Learning,ug4,1334,2020 02 11 12:46:32 00,1,"The automatic parallelisation of sequential programs has long been a grail of compiler research, but faces a multitude of difficult problems. A significant challenge is in correctly identifying code which can be parallelised. Traditional static analysis approaches prove too conservative in practice and will miss valuable opportunities for parallelisation.The goal of this project is to develop a new approach to identifying potential parallelism, based on the automatic detection of parallelisable patterns in code. Given a corpus of example programs matching a particular pattern, e.g. stencil codes, a deep learning language model will be trained to identify the presence of this pattern in unseen programs by comparing likeliness of the code to the example programs. These example programs may be automatically generated from an algorithmic template, and unseen programs for testing the model may be taken from open source projects. Once identified, instances of these patterns may be parallelised. An excellent project will be able to automatically parallelise identified patterns.",Develop deep machine learning models to suggest auto parallelisation opportunities in legacy code,1,Challenging,"Minimum criteria include developing a tool for generating permutations of an algorithmic template, e.g. stencil codes, and training a discriminative language model on these generated codes which can predict with reasonable accuracy whether an unseen program matches the pattern. A good project will extend the number of patterns and will be able to identify and isolate an instance of the pattern from a larger program. An excellent project will  be able to automatically parallelise the identified patterns.",8,0,f
4364,Parsing the STAC corpus,ug4,1778,2020 02 11 15:01:59 00,1,"The STAC corpus (https://www.irit.fr/STAC/corpus.html) is a corpus of negotiations taking place in the multi player win lose game the Settlers of Catan. The "";units""; file contains mentions and anaphoric relations for resources, and dialogue acts (e.g., offer, question). † The "";discourse""; file contains annotations for discourse structure: that is, coherence relations that connect discourse units (where the units themselves can be extended segments of coherently related units, thereby generating a hierarchical structure). † The discourse structure annotations comply with Segmented Discourse Representation Theory (SDRT, Asher and Lascarides 2003, Lascarides and Asher 2007). There are two versions of the corpus: one in which only linguistic units are labelled, and another in which coherence relations between linguistic and non linguistic units are labelled (e.g., the game move of rolling a 7 and a player saying "";YAY!""; may be annotated with the latter being a COMMENTARY on the former). † There is published work on predicting the dialogue acts and discourse structure for the linguistic only STAC corpus (e.g, Afantenos et al, 2015). † There is scope for taking this in two alternative directions: (a) adapting and testing the Afantenos et al (2015) model on the situated version of the STAC corpus; or (b) adapating and implementing an alternative parsing model to that of Afantenos et al 2015 (e.g., by using the structured NNs from Liu and Lapata (2018)) † and comparing the results on the linguistics only version of the STAC corpus.",To implement and test an existing model of semantic parsing on the STAC corpus,2,4   Very Hard,The student should deliver the following: (i) the design of a model for learning a mapping from dialogues to dialogue acts and/or discourse structure; (ii) an implementation of this model; (iii) evaluation of the model against held out test data from the STAC corpus.,8,0,f
4365,Learning to play Draughts,ug4,1778,2020 02 11 15:47:08 00,1,"There are many ways of learning strategies for playing games from agent simulations. † This project involves choosing a particular method   e.g., Monte Carlo Tree Search (MCTS) or Deep Reinforcement Learning (RL)   for learning to play Draughts. † The rules of the game are here:https://en.wikipedia.org/wiki/DraughtsYour tasks would be as follows:1) Build a † game and simulation environment for Draughts (or find an existing implementation that you can build on).2) Design and implement an agent (or agents) that play Draughts, via simple heuristics based methods.3) Design and implement a model for † learning to play Draughts (e.g., MCTS or DRL).4) Evaluate these models against some baseline (e.g., the heuristics based agents you developed in the first place, or random play).",To use a MCTS or a similar approach to learn to play Draughts,1,1   Easy,Implementaiton of a Draughts simulation environoment; implementation of heuristics based players; testing and evaluation of a player that has learned its strategy from game simulations.,8,0,f
4366,Generating a Compiler Backend from an Architecture Specification,ug4,1390,2020 02 11 16:48:29 00,1,"The development of compiler backends is a largely manual effort despite the availability of some automated tools, which provide automation of part of the task, e.g. instruction selector generators. In this project we wish to investigate the feasibility of automating the automatic generation of an entire compiler backend from a machine readable architecture specification. This could, for example, be based on the ArchC architecture description language, which is used in the locally developed GenSim tool suite for simulator generation and produce an LLVM compiler backend.We envisage the student working on this project to define a minimal instruction set architecture (with maybe 10 20 simple instructions) and to explore the challenges of processing and translating the instruction specifications for different classes of instructions into matching rules for an LLVM backend. The student would investigate novel solutions to the problems in matching the semantics of instruction templates with those of IR nodes, and synthesising instruction sequences for the implementation of IR nodes. To demonstrate feasibility of this process a prototype LLVM backend generator tool would be developed for the minimal target architecture.",To investigate the feasibility of generating compiler backends automatically from architecture specifications written in an architecture description language,1,3   Hard,"A tiny instruction set architecture specified in the ArchC architecture description language, from which a (simple) LLVM backend is generated automatically.",8,0,f
4367,Retrofitting GraphBLAS to Legacy Code,ug4,1390,2020 02 11 16:49:07 00,1,"Graphs are important data structures used in many applications. As software engineering practices have evolved over time, and the sizes of graphs to process have increased, novel and efficient graph abstractions such as GraphBLAS have been developed. In this project the student will investigate the challenges in retrofitting GraphBLAS to existing graph processing applications, i.e. legacy code. The project will be implementation driven with examples taken from standard benchmarks and other publicly available sources. While legacy graph processing applications are transformed to take advantage of GraphBLAS the student will document the transformation effort and challenges, while distilling "";lessons learned""; from this experience. The project will include a performance evaluation of the transformed codes, and also incorporate other metrics such as code complexity measures.",To convert graph based legacy code to make use of GraphBLAS,2,2   Moderate,"Completed the transformation of a small number of C/C   based legacy applications using user defined graph data structures and algorithms to make use the GraphBLAS specification, and evaluated the resulting code in terms of software engineering metrics as well as performance.",8,0,f
4369,Writing a minimal AArch64 JIT compiler in C,ug4,1390,2020 02 11 16:50:20 00,1,"This software development project is concerned with the retargeting of an existing minimalistic JIT compiler to support the AArch64 architecture. Starting point is an existing x86 64 version of the JIT compiler. The project would initially focus on the support of AArch64 and evaluate the basic compiler in terms of performance, code size, and code quality.Extensions of the project are possible and comprise various JIT code optimisations. Furthermore, targeting of specialised instructions, e.g. for vector processing, would also be possible once the basic implementation goals have been achieved.",To port an existing x86 64 JIT compiler to AArch64,1,2   Moderate,"Minimalistic compiler ported to AArch64 and evaluated (performance, code size, code quality) on an ARM server. Comparison against original x86 64 version.",8,0,f
4370,Interactive Task Learning using Corrective Dialogue Moves,ug4,1778,2020 02 12 10:48:39 00,1,"This student would work with Yordan Hristov and Mattias Appelgren (who are PhD students jointly supervised by Ram Ramamoorthy and me). † So far, Yordan Hristov has developed state of the art models of symbol grounding, using weakly supervised data. † The training exemplars are all of the form of a photo real image and accompanying utterances like "";This is a blue block"";. † On the other hand, Mattias Appelgren has developed an AI agent that learns from corrective feedback: e.g., the robot has just put a yellow block on a blue block in a tower building task, and the domain expert says "";No, put red blocks on blue blocks"";. In this case, the agent must learn to ground the colour red from an image and the utterance, knowing that because it's a correction the top block is *not* red. † The purpose of this project is to bring these pieces of work together: instead of learning to ground colour terms via corrective feedback, you will aim to learn to recognise more complex concepts: e.g., "";No, put lettuce on washing powder"";. † † If things go well, we might even tackle learning abstract concepts: e.g., "";No, put light things on heavy things"";, where the agent will need to learn which objects are light and which are heavy. † † † † † † † † † † † †",To contribute to developing an AI agent that learns to solve its planning problem via trial and error and corrective dialogue moves from a domain expert,1,3   Hard,"The completion criteria will be experiments that measure the cumulative cost as the robot attempts its packing/tower building task, compared against a baseline that doesn't attempt to interpret the rule expressed by the domain expert says when he corrects the agent (i.e., the baseline just exploits ""No"").",8,0,f
4371,Automatic Proposal of Experiments to Discriminate Between Alternative Repairs to a Faulty Theory,ug4,1358,2020 02 12 14:08:51 00,1,"The ABC system repairs faulty logical theories. It is given a theory, T, as a set of axioms in the decidable logic Datalog, and two sets of observations, as ground propositions. One set is of ground propositions that are observed to be true of the environment and the other is of ground propositions observed to be false. Theory T is used for predictions about the environment. Its predictions are wrong if it proves something false (incompatibility) or fails to prove something true (insufficiency). The ABC system then tries to repair T either by adding/deleting axioms, deleting/adding preconditions to rules or changing T's language. Language changes are implemented by reformation and consist of splitting/merging predicates or constants, or adding/deleting arguments of predicates. ABC will often propose alternative fault free repairs to a faulty theory. If, however, the set of either true or false observations were increased, then ABC might detect new faults in these previously fault free repaired theories. The aim of the project is to suggest one or more new observations whose truth or falsity would determine which repairs to prefer. Ideally, if a new observation is found to be true, then roughly half the repaired theories would be insufficient and if it is found to be false then the other half would be incompatible. This process could be repeated until only one repaired theory remained fault free. There are various optional extensions to this project in implementing a mechanism for determining the truth value of the proposed observations. Which one(s) should be implemented would depend on the progress of the student. For instance, the simplest option would be to ask the user. We would expect at least this one to be implemented via a GUI. Or a web query could be made to see if the relevant knowledge were in the public domain. Our FRANK query answering system might used for this. Most ambitiously, automated instruments could be used to make appropriate observations. This last option is probably more at PhD level though. ",Develop a mechanism that will suggest what observations need to be made to discriminate between alternative ways of repairing a faulty theory. Explore options for gathering these observations.,1,3   Hard,"An algorithm that, give a set of alternative, fault free repaired theories, suggests new observations to be made to reject roughly half of them as faulty. Plus some method for determining whether the observation is true or false.",8,0,f
